source_id,url,duplicate_of,sha256
trepo_2025h1_0001_00035,https://prcdn.freetls.fastly.net/release_image/82823/49/82823-49-b7a08518d8aec393752ae55cc2950457-1920x1080.jpg?width=1950,media/trend_evidence_trepo_2025h1/trepo_2025h1_0001_00010__82823-49-b7a08518d8aec393752ae55cc2950457-1920x1080.jpg,fec6972d8c1ed9e6c8fe63a3d0c3f14c7864734d86ade3016f4946fb4ae76663
trepo_2025h1_0001_00022,https://prcdn.freetls.fastly.net/release_image/82823/49/82823-49-62262577f0d8b78f53594ac6e5f811ad-1920x1080.jpg?format=jpeg,media/trend_evidence_trepo_2025h1/trepo_2025h1_0001_00001__82823-49-62262577f0d8b78f53594ac6e5f811ad-1920x1080.jpg,333a34ae445b04aa9bdffc8522b5de58c4ce026042dcc38986c1547b6942d790
line_2025march_0001_00001,https://prcdn.freetls.fastly.net/release_image/129774/1130/129774-1130-31835c599e5285eaea48324301c68343-1280x670.png?format=jpeg&auto=webp&fit=bounds&width=2400&height=1260,media/trend_evidence_line_2025march/line_2025march_0001_00002__129774-1130-31835c599e5285eaea48324301c68343-1280x670.jpg,2edb475c50fe8ed1e5b99c5ebe06f45d830c6259d713fe8199344a1b79e54aa3
line_2025march_0001_00007,https://prcdn.freetls.fastly.net/release_image/129774/1130/129774-1130-31835c599e5285eaea48324301c68343-1280x670.png?format=jpeg,media/trend_evidence_line_2025march/line_2025march_0001_00002__129774-1130-31835c599e5285eaea48324301c68343-1280x670.jpg,2edb475c50fe8ed1e5b99c5ebe06f45d830c6259d713fe8199344a1b79e54aa3
gif_anime2_0051_00012,http://gif.anime2.net/wp/wp-content/uploads/2016/04/2278697359-thumb.jpg,media/gif_archive_gif_anime2/gif_anime2_0001_00023__2278697359-thumb.jpg,ad9c1b4d4d01e13b416472ea80b803a943d528b67d579aca4b0f614607ea7d39
gif_anime2_0051_00011,http://gif.anime2.net/wp/wp-content/uploads/2016/11/Gifsmith-eb01e765-9-thumb.jpg,media/gif_archive_gif_anime2/gif_anime2_0001_00022__Gifsmith-eb01e765-9-thumb.jpg,5c6a4c0c27701ecdfb5ab92aff8f58d612b6131adad491dc94cc4408d622959d
gif_anime2_0051_00013,http://gif.anime2.net/wp/wp-content/uploads/2016/01/0679a8a4-thumb.jpg,media/gif_archive_gif_anime2/gif_anime2_0001_00024__0679a8a4-thumb.jpg,1e110eead13310e8bfa3bab06d54dcc434e289e4118a4e546d747a82c4f814c4
gif_anime2_0051_00014,http://gif.anime2.net/wp/wp-content/uploads/2016/01/cec88997-thumb.jpg,media/gif_archive_gif_anime2/gif_anime2_0001_00025__cec88997-thumb.jpg,dc7aee7ef15459eb84559bdfcd57441042cec1e03e93c2e6798f79a01ebf52c1
gif_anime2_0051_00015,http://gif.anime2.net/wp/wp-content/uploads/2016/04/2527438484-thumb.jpg,media/gif_archive_gif_anime2/gif_anime2_0001_00026__2527438484-thumb.jpg,ca6b3a7caa798c5b93e6a7c77003b4f9940488ba273449da22b54ae3eb921ee4
gif_anime2_0051_00017,http://douga.blogmura.com/douga_humor/img/douga_humor88_31.gif,media/gif_archive_gif_anime2/gif_anime2_0001_00028__88_31.gif,4270e67ce5317b0d1dc746be3b6967f09cdeeb758e9fe2f8afa9f03b455c48b6
gif_anime2_0217_00002,http://gif.anime2.net/images/icon_fav.png,media/gif_archive_gif_anime2/gif_anime2_0001_00002__icon_fav.png,59141787f0cbb7be271c8b28648e265528f34d0e0b60abee297ad90cb2fe4b76
kym_yamcha_0001_00092,https://knowyourmeme.com/assets/chat-bubbles.svg,media/meme_gallery_kym_yamcha/kym_yamcha_0001_00069__chat-bubbles.svg,1e9ec0a33d3d09e9104fad99eb764d8d96327bfa6dfdee72472a3bf483442d86
kym_omae_0007_00037,https://i.kym-cdn.com/photos/images/masonry/000/774/765/5a9.jpg,media/meme_gallery_kym_omae/kym_omae_0006_00067__5a9.jpg,d87c0fd637f3f7f1dc4b5b53a96140184fa9441b7af71972fe51602d38a8f046
kym_omae_0007_00038,https://i.kym-cdn.com/photos/images/original/000/774/765/5a9.jpg,media/meme_gallery_kym_omae/kym_omae_0006_00068__5a9.jpg,5a90258a87754343fc99438cd7050933098ab71aa9e26eddda8f8ac006ddac8d
kym_this_is_fine_0005_00037,https://i.kym-cdn.com/photos/images/masonry/001/476/528/d03,media/meme_gallery_kym_this_is_fine/kym_this_is_fine_0003_00045__d03.jpg,8083a3b8358a8ad77dea577cab2820476244e64fb3d258ea72038e3d261e0f6c
kym_this_is_fine_0005_00038,https://i.kym-cdn.com/photos/images/original/001/476/528/d03,media/meme_gallery_kym_this_is_fine/kym_this_is_fine_0003_00046__d03.jpg,d034666c08fa155cfcc7521e99dc197426d0674dc63c881855b866c0c71016d4
